Titre;Réalisateur;Date de sortie;Synopsis;Note Presse;Note Spectateurs;Score Recommandation;Amazon Prime Video;Canal VOD;Canal+;Disney+;Netflix;OCS;Paramount+;URL
Bezness;Nouri Bouzid;10 juin 1992;Fred, reporter photographe, part en Tunisie faire un reportage sur les bezness, jeunes gigolos qui vivent de leurs charmes. Il va, grace a Roufa, decouvrir ce milieu surprenant ou les jeunes gens sont confrontes aux contradictions entre tradition et modernite.;2.8;--;?;;X;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=7458.html
Broadway Therapy;Peter Bogdanovich;22 avril 2015;Lorsqu’Isabella rencontre Arnold, un charmant metteur en scène de Broadway, sa vie bascule. À travers les souvenirs – plus ou moins farfelus – qu’elle confie à une journaliste, l’ancienne escort girl de Brooklyn venue tenter sa chance à Hollywood, raconte comment ce « rendez-vous » lui a tout à coup apporté une fortune, et une chance qui ne se refuse pas... Tous ceux qui se trouvent mêlés de près ou de loin à cette délirante histoire vont voir leur vie changer à jamais dans un enchaînement de péripéties aussi réjouissantes qu’imprévisibles. Personne n’en sortira indemne, ni l’épouse d’Arnold, Delta, ni le comédien Seth Gilbert, ni le dramaturge Joshua Fleet, pas même Jane, la psy d’Isabella...;3.4;3.4;?;;X;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=218583.html
En équilibre;Denis Dercourt;15 avril 2015;Marc est cascadeur équestre. Un grave accident sur un tournage lui faire perdre tout espoir de remonter un jour à cheval. Florence est chargée par la compagnie d'assurances de s'occuper du dossier de cet homme brisé. Cette brève rencontre va bouleverser leurs équilibres...;3.4;3.7;56;;X;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=228005.html
Machete Kills;Robert Rodriguez;2 octobre 2013;"Le président des Etats-Unis confie une mission suicide à Machete : sauver le pays d'un redoutable chef de cartel mexicain, qui menace d'envoyer un missile nucléaire sur le sol américain... Machete Kills est le 2ème volet des aventures de Machete, après le succès du premier opus (""Machete""), qui a participé au renouveau du genre Grindhouse.";2.9;2.8;27;;X;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=196177.html
Et (beaucoup) plus si affinités;Michael Dowse;29 octobre 2014;En se rendant à une soirée organisée par son meilleur ami, Wallace ne se doute pas qu’une rencontre va bouleverser sa vie. Son attirance pour Chantry a tout du coup de foudre. Une complicité immédiate s’installe avec cette jeune femme pétillante et à l’humour ravageur. Toutefois, il subsiste un petit obstacle aux prémices de cette belle histoire : Chantry est déjà en couple avec un dénommé Ben ! Elle propose donc à Wallace de sceller un tout autre pacte : devenir amis, et rien de plus. Au fil du temps, leur complicité ne fait que grandir et Wallace se retrouve vite confronté à un vrai dilemme : doit-il s’en tenir à sa promesse ? Faire en sorte que Chantry quitte Ben ? Faire semblant de se satisfaire de cette situation bancale ou bien tenter de la conquérir, au risque de la perdre ? Leur relation amicale va être mise à rude épreuve : mais un homme et une femme peuvent-ils réellement être amis ?;3.0;3.3;54;X;X;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=210229.html
Secret d'état;Michael Cuesta;26 novembre 2014;Une vérité incroyable se dessine : les rebelles du Nicaragua travailleraient directement avec la CIA pour introduire de la cocaïne aux Etats-Unis et l’argent résultant de ce trafic servirait à armer les milices des Contras que veulent soutenir les Etats-Unis. Pour faire exploser la vérité, Webb prend tous les risques et se rend au Nicaragua afin de soutirer des informations essentielles au baron de la drogue Norwin Meneses. Il écrit bientôt une série d’articles qui secoue l’Amérique tout entière…Webb devient alors une cible pour les journalistes rivaux mais aussi pour les responsables du trafic : un véritable complot se trame contre lui…;3.4;3.5;52;;X;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=218237.html
Quand vient la nuit;Michaël R. Roskam;12 novembre 2014;Bob Saginowski, barman solitaire, suit d’un regard désabusé le système de blanchiment d’argent basé sur des bars-dépôts – appelés « Drop bars » - qui sévit dans les bas-fonds de Brooklyn. Avec son cousin et employeur Marv, Bob se retrouve au centre d’un braquage qui tourne mal. Il est bientôt mêlé à une enquête qui va réveiller des drames enfouis du passé...;3.5;3.7;49;;;;X;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=208791.html
Un prof pas comme les autres;Bora Dagtekin;12 novembre 2014;"Zeki Müller, petit escroc, sort de prison avec pour seul but de retrouver un butin qu’il a enterré. Le problème est que depuis, un gymnase s’est construit au-dessus. Afin de récupérer son argent, Zeki n’a pas d’autre choix que de se faire embaucher comme enseignant suppléant dans l’école dont dépend le gymnase. Il devient ainsi le pire enseignant de tous les temps. La nuit, Zeki creuse secrètement ; la journée, il utilise des méthodes peu orthodoxes pour amener des élèves indisciplinés sur la bonne voix. Cette approche pédagogique est condamnée par sa collègue Lisi, enseignante peu respectée qui va trouver en Zeki, non seulement un allié mais également une personne douée d’une certaine intégrité morale.";2.4;3.4;46;;X;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=209260.html
Journal d’une femme de chambre;Benoit Jacquot;1 avril 2015;Début du XXème siècle, en province. Très courtisée pour sa beauté, Célestine est une jeune femme de chambre nouvellement arrivée de Paris au service de la famille Lanlaire. Repoussant les avances de Monsieur, Célestine doit également faire face à la très stricte Madame Lanlaire qui régit la maison d’une main de fer. Elle y fait la rencontre de Joseph, l’énigmatique jardinier de la propriété, pour lequel elle éprouve une véritable fascination.;3.7;2.4;22;;X;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=218761.html
Birdman;Alejandro González Iñárritu;25 février 2015;À l’époque où il incarnait un célèbre super-héros, Riggan Thomson était mondialement connu. Mais de cette célébrité il ne reste plus grand-chose, et il tente aujourd’hui de monter une pièce de théâtre à Broadway dans l’espoir de renouer avec sa gloire perdue. Durant les quelques jours qui précèdent la première, il va devoir tout affronter : sa famille et ses proches, son passé, ses rêves et son ego…S’il s’en sort, le rideau a une chance de s’ouvrir...;4.0;3.9;32;;;X;X;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=216633.html
Le Dernier Loup;Jean-Jacques Annaud;25 février 2015;1969. Chen Zhen, un jeune étudiant originaire de Pékin, est envoyé en Mongolie-Intérieure afin d’éduquer une tribu de bergers nomades. Mais c’est véritablement Chen qui a beaucoup à apprendre – sur la vie dans cette contrée infinie, hostile et vertigineuse, sur la notion de communauté, de liberté et de responsabilité, et sur la créature la plus crainte et vénérée des steppes – le loup. Séduit par le lien complexe et quasi mystique entre ces créatures sacrées et les bergers, il capture un louveteau afin de l’apprivoiser. Mais la relation naissante entre l’homme et l’animal – ainsi que le mode de vie traditionnel de la tribu, et l’avenir de la terre elle-même – est menacée lorsqu’un représentant régional de l'autorité centrale décide par tous les moyens d’éliminer les loups de cette région.;3.6;3.6;50;;;;;;X;;https://www.allocine.fr/film/fichefilm_gen_cfilm=171577.html
The Voices;Marjane Satrapi;11 mars 2015;Jerry vit à Milton, petite ville américaine bien tranquille où il travaille dans une usine de baignoires. Célibataire, il n’est pas solitaire pour autant dans la mesure où il s’entend très bien avec son chat, M. Moustache, et son chien, Bosco. Jerry voit régulièrement sa psy, aussi charmante que compréhensive, à qui il révèle un jour qu’il apprécie de plus en plus Fiona - la délicieuse Anglaise qui travaille à la comptabilité de l’usine. Bref, tout se passe bien dans sa vie plutôt ordinaire - du moins tant qu’il n’oublie pas de prendre ses médicaments...;3.4;3.4;43;;X;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=211238.html
Les Femmes de ses rêves;Peter Farrelly;28 novembre 2007;Eddie est un velléitaire qui cherche depuis des années la femme parfaite. Persuadé d'avoir trouvé celle-ci sous les traits de la belle et très sensuelle Lila, il décide de mettre fin à un célibat prolongé, et l'épouse quelques semaines seulement après leur rencontre, avec les vifs encouragements de son père et de son meilleur ami.Mais la lune de miel au soleil du Mexique tourne au cauchemar, car Lila ne tarde pas à révéler sa vraie nature - terrifiante ! - et comprend qu'il a épousé... l'erreur de sa vie.Au bord de la crise de nerfs, le malheureux reprend espoir à la vue de la douce et belle Miranda, et s'enflamme une fois de plus, convaincu d'avoir découvert l'âme soeur. Problème : comment faire sa conquête tout en tenant Lila à l'écart ?;3.3;2.5;27;;X;;;;;X;https://www.allocine.fr/film/fichefilm_gen_cfilm=61180.html
L'Aventure, c'est L'Aventure;Claude Lelouch;4 mai 1972;Les banques n'étant plus d'un rapport assez lucratif, cinq truand décident de se recycler en enlevant des personnalités. Le premier sur la liste n'est autre que Johnny Hallyday.;3.7;--;64;;X;;;;X;;https://www.allocine.fr/film/fichefilm_gen_cfilm=4090.html
Projet X;Nima Nourizadeh;14 mars 2012;Alors qu'ils semblaient jusque-là se fondre dans la masse, trois lycéens décident de sortir de l'anonymat. En apparence, leur projet est plutôt inoffensif puisqu'ils ont l'intention d'organiser une fête des plus mémorables. Mais rien n'aurait pu les préparer à la soirée qu'ils s'apprêtent à vivre... La rumeur se propage alors rapidement, tandis que les rêves des uns s'effondrent, les résultats scolaires des autres dégringolent, et des légendes se forgent…;3.0;3.1;19;;X;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=185031.html
La Ritournelle;Marc Fitoussi;11 juin 2014;Brigitte et Xavier sont éleveurs bovins en Normandie. Elle est rêveuse, la tête dans les étoiles. Lui, les pieds ancrés dans la terre, vit surtout pour son métier. Avec le départ des enfants, la routine de leur couple pèse de plus en plus à Brigitte. Un jour, sur un coup de folie, elle prend la clef des champs. Destination : Paris. Xavier réalise alors qu’il est peut-être en train de la perdre. Parviendront-ils à se retrouver ? Et comment se réinventer, après toutes ces années ? La reconquête emprunte parfois des chemins de traverse...;3.4;3.1;41;;X;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=213225.html
Aimer, boire et chanter;Alain Resnais;26 mars 2014;Dans la campagne anglaise du Yorkshire, la vie de trois couples est bouleversée pendant quelques mois, du printemps à l’automne, par le comportement énigmatique de leur ami George Riley.Lorsque le médecin Colin apprend par mégarde à sa femme Kathryn que les jours de son patient George Riley sont sans doute comptés, il ignore que celui-ci a été le premier amour de Kathryn. Les deux époux, qui répètent une pièce de théâtre avec leur troupe amateur locale, persuadent George de se joindre à eux. Cela permet à George, entre autres, de jouer des scènes d’amour appuyées avec Tamara, la femme de son meilleur ami Jack, riche homme d’affaires et mari infidèle. Jack, éploré, tente de persuader Monica, l’épouse de George qui s’est séparée de lui pour vivre avec le fermier Simeon, de revenir auprès de son mari pour l’accompagner dans ses derniers mois. Au grand désarroi des hommes dont elles partagent la vie, George exerce une étrange séduction sur les trois femmes : Monica, Tamara et KathrynLaquelle George Riley emmènera-t-il en vacances à Ténérife ?;3.7;2.2;?;;X;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=207625.html
Julie est amoureuse;Vincent Dietschy;9 décembre 1998;"Michael Monk, comedien celebre, et son epouse Emilie partent en vacances comme chaque annee dans leur chateau en Dordogne. Dans la ferme voisine, une troupe de theatre amateur dirige par Bart prepare une representation de ""Romeo et Juliette"". Une rivalite s'installe alors entre les deux hommes.";4.0;3.7;?;;;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=9638.html
Samba;Eric Toledano;15 octobre 2014;"Samba, sénégalais en France depuis 10 ans, collectionne les petits boulots ; Alice est une cadre supérieure épuisée par un burn out. Lui essaye par tous les moyens d'obtenir ses papiers, alors qu'elle tente de se reconstruire par le bénévolat dans une association. Chacun cherche à sortir de son impasse jusqu'au jour où leurs destins se croisent... Entre humour et émotion, leur histoire se fraye un autre chemin vers le bonheur. Et si la vie avait plus d'imagination qu'eux ?";3.6;3.3;39;;X;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=224453.html
#Chef;Jon Favreau;29 octobre 2014;Carl Casper, Chef cuisinier, préfère démissionner soudainement de son poste plutôt que d’accepter de compromettre son intégrité créative par les décisions du propriétaire de l’établissement. Il doit alors décider de son avenir. Se retrouvant ainsi à Miami, il s’associe à son ex-femme, son ami et son fils pour lancer un food truck. En prenant la route, le Chef Carl retourne à ses racines et retrouve la passion pour la cuisine et un zeste de vie et d’amour.;2.8;3.6;63;;;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=221413.html
Near Death Experience;Gustave Kervern;10 septembre 2014;Paul, un employé sur une plateforme téléphonique, est en plein burn-out. Un vendredi 13, la chronique du journal télévisé sur ce jour particulier lui apparaît comme un signal pour passer à l'acte. Décidé à concrétiser son geste, Il s'enfuit dans la montagne où il va vivre une expérience unique.;3.1;2.7;?;;X;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=228624.html
Dans la cour;Pierre Salvadori;23 avril 2014;Antoine est musicien. A quarante ans, il décide brusquement de mettre fin à sa carrière. Après quelques jours d'errance, il se fait embaucher comme gardien d'immeuble. Jeune retraitée, Mathilde découvre une inquiétante fissure sur le mur de son salon. Peu à peu, son angoisse grandit pour se transformer en panique : et si l'immeuble s'effondrait... Tout doucement, Antoine se prend d'amitié pour cette femme qu'il craint de voir sombrer vers la folie. Entre dérapages et inquiétudes, tous deux forment un tandem maladroit, drolatique et solidaire qui les aidera, peut-être, à traverser cette mauvaise passe.;3.8;3.3;45;;X;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=213859.html
Un illustre inconnu;Matthieu Delaporte;19 novembre 2014;Sébastien Nicolas a toujours rêvé d’être quelqu’un d’autre. Mais il n’a jamais eu d’imagination. Alors il copie. Il observe, suit puis imite les gens qu’il rencontre. Il traverse leurs vies. Mais certains voyages sont sans retour.;3.1;3.3;34;;X;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=222567.html
Zero Theorem;Terry Gilliam;25 juin 2014;Londres, dans un avenir proche. Les avancées technologiques ont placé le monde sous la surveillance d’une autorité invisible et toute-puissante : Management. Qohen Leth, génie de l’informatique, vit en reclus dans une chapelle abandonnée où il attend désespérément l’appel téléphonique qui lui apportera les réponses à toutes les questions qu’il se pose. Management le fait travailler sur un projet secret visant à décrypter le but de l’Existence – ou son absence de finalité – une bonne fois pour toutes. La solitude de Qohen est interrompue par les visites des émissaires de Management : Bob, le fils prodige de Management et Bainsley, une jeune femme mystérieuse qui tente de le séduire. Malgré toute sa science, ce n’est que lorsqu’il aura éprouvé la force du sentiment amoureux et du désir que Qohen pourra enfin comprendre le sens de la vie...;2.4;2.6;23;;;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=211500.html
Jimmy's Hall;Ken Loach;2 juillet 2014;"1932 - Après un exil de 10 ans aux États-Unis, Jimmy Gralton rentre au pays pour aider sa mère à s'occuper de la ferme familiale.L'Irlande qu'il retrouve, une dizaine d'années après la guerre civile, s'est dotée d'un nouveau gouvernement. Tous les espoirs sont permis…Suite aux sollicitations des jeunes du Comté de Leitrim, Jimmy, malgré sa réticence à provoquer ses vieux ennemis comme l'Eglise ou les propriétaires terriens, décide de rouvrir le ""Hall"", un foyer ouvert à tous où l'on se retrouve pour danser, étudier, ou discuter. À nouveau, le succès est immédiat. Mais l'influence grandissante de Jimmy et ses idées progressistes ne sont toujours pas du goût de tout le monde au village. Les tensions refont surface.";3.4;3.7;59;;X;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=221207.html
Rio 2;Carlos Saldanha;9 avril 2014;Blu a pris son envol et se sent désormais chez lui à Rio de Janeiro, aux côtés de Perla et de leurs trois enfants. Mais la vie de perroquet ne s’apprend pas en ville et Perla insiste pour que la famille s’installe dans la forêt amazonienne alors qu'ils découvrent que d'autres aras bleus y vivent.;3.6;3.6;47;;;;X;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=206727.html
La Fièvre au corps;Lawrence Kasdan;24 février 1982;Un avocat mene par le bout du nez par sa jolie maitresse tue le mari encombrant tandis que la belle semble disparaitre dans une explosion.;3.8;--;64;;X;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=7213.html
Les Ecrans déchirés;Jacques Richard (II);Non disponible;Non disponible;Non disponible;Non disponible;Non disponible;;;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=133810.html
La Leçon de piano;Jane Campion;19 mai 1993;Ada, mère d’une fillette de neuf ans, s’apprête à partager la vie d’un inconnu, au fin fond du bush néo-zélandais. Son nouveau mari accepte de transporter toutes ses possessions, à l’exception de la plus précieuse : un piano, qui échoue chez un voisin illettré. Ne pouvant se résigner à cette perte, Ada accepte le marché que lui propose ce dernier : regagner le piano, touche par touche en se soumettant à ses fantaisies...;4.1;--;68;;X;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=7807.html
Malavita;Luc Besson;23 octobre 2013;Fred Blake alias Giovanni Manzoni, repenti de la mafia new-yorkaise sous protection du FBI, s’installe avec sa famille dans un petit village de Normandie.Malgré d’incontestables efforts d’intégration, les bonnes vieilles habitudes vont vite reprendre le dessus quand il s’agira de régler les petits soucis du quotidien…;2.3;2.8;46;;X;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=207801.html
Boy;Taika Waititi;12 septembre 2012;"Boy, onze ans, habite dans un village maori avec sa grand-mère, son petit frère Rocky, et une tribu de cousins. Il vit dans un monde imaginaire, est fan de Michael Jackson et de son nouveau tube ""Thriller"". L’autre héros de Boy est Alamein, père absent que le jeune garçon imagine tantôt en samouraï maori, tantôt en star du rugby ou encore en intime du roi de la Pop.Après sept ans d’absence, lorsque Alamein rentre à la maison, Boy va devoir confronter ses rêves à la réalité...";3.6;4.0;?;;;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=186644.html
Donnie Brasco;Mike Newell;19 mars 1997;En 1978 a New York, l'agent special Joe Pistone est designe par le FBI pour infiltrer le clan Bonanno, une des familles les plus puissantes de la cote Est. Il contacte un modeste porte-flingue de l'organisation, Lefty Ruggiero, aupres duquel il se fait passer pour un specialiste en joaillerie du nom de Donnie Brasco. Coupe de son milieu, Donnie va peu a peu s'identifier a ceux qu'il doit detruire.;3.4;4.0;61;;X;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=13896.html
Sexe intentions;Roger Kumble;23 juin 1999;"Ils sont jeunes, beaux, riches et rivalisent d'adresse machiavélique pour comploter des conquêtes amoureuses.Dans cette version moderne des ""Liaisons Dangereuses"", l'intrigante Kathryn Merteuil charge son perfide ami et double masculin, Sebastian Valmont, de séduire la vertueuse Annette Hargrove, dont les régulières déclarations sur les bienfaits de la virginité sont des agressions permanentes au systême de pensée de Mlle Merteuil.Ce challenge devient un pari, que Sebastian veut absolument gagner. Mais sa tentative de séduction ne produit pas les effets escomptés : il est séduit en retour par la jeune et jolie étudiante...";3.0;3.2;32;;;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=19647.html
Moulin Rouge !;Baz Luhrmann;3 octobre 2001;A la fin du XIXe siècle, dans le Paris de la Belle Epoque, Christian, un jeune poète désargenté, s'installe dans le quartier de Montmartre et découvre un univers où se mêlent sexe, drogue et french cancan, mais se rebelle contre ce milieu décadent en menant une vie de bohème.Il rêve d'écrire une grande pièce, et le peintre Henri de Toulouse-Lautrec est prêt à lui donner sa chance. Celui-ci a besoin d'un spectacle grandiose pour le Moulin Rouge et le poète est embauché pour rédiger le livret de la revue. C'est là qu'il tombe amoureux de la courtisane Satine, la star du prodigieux cabaret...;3.7;3.8;51;;;;X;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=26863.html
Kes;Ken Loach;1 mai 1970;"Billy Casper vit dans une petite ville minière du nord-est de l'Angleterre, à Barnsley, dans le Yorkshire. Il a une douzaine d'annéeset l'univers dans lequel il vit ne correspond pas à son attente. Sa mère ne s'occupe guère de lui son frère aîné Jude, le traite en souffre-douleur. Quelques petits travaux avant l'heure d'ouverture de l'école et de menus larcins lui procurent un peu d'argent de poche. A l'école, Billy est distrait indiscipliné, entouré de camarades et de professeurs plus hostiles qu'amicaux.. Un jour, Billy déniche un jeune rapace; il vole alors dans une librairie un traité de fauconnerie et entreprend de dresser l'oiseau. Il se donne tout entier à cette tâche et lorsqu'un professeur, attentif, lui demande d'exposer à la classe l'art de dresser un faucon, Billy réussit à intéresser tous ses camarades...Mais le gamin a détourné une petite somme d'argent que son frère lui avait confiée pour jouer aux courses : Jude se vengera en tuant l'oiseau, le seul ami de l'enfant.";5.0;4.1;62;;;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=4551.html
The Trip;Michael Winterbottom;20 juillet 2011;Deux vieux amis entreprennent un tour des restaurants romantiques dans la campagne anglaise après que la petite amie de l'un d'eux soit partie.;2.9;2.5;?;;X;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=189570.html
Le Cercle Rouge;Jean-Pierre Melville;20 octobre 1970;Le commissaire Mattei, de la brigade criminelle, est chargé de convoyer le détenu Vogel dans le train de nuit reliant Marseille à Paris. Malgré toutes les précautions prises, ce dernier parvient à s’évader en pleine campagne. Au même moment, un homme nommé Corey sort de prison après cinq années de détention. Il décide de se rendre à Paris car l’un des gardiens lui a parlé d’un coup à faire dans une bijouterie place Vendôme. Alors que Corey fait une halte dans un restaurant, Vogel trouve refuge dans le coffre de sa voiture. Le conducteur le repère et les deux hommes font connaissance. Ensemble, ils vont œuvrer sur le casse, bientôt rejoints par Jansen, un ancien flic devenu criminel...;4.1;--;74;;;;;X;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=2358.html
Le Dernier Tango à Paris;Bernardo Bertolucci;15 décembre 1972;Paul, un Américain établi à Paris, et Jeanne font connaissance alors qu'ils visitent, un matin d'hiver, un grand appartement vide. Ils font l'amour sans rien savoir l'un de l'autre, pas même leurs prénoms. Paul loue l'appartement et le couple s'y donne rendez-vous jusqu'à ce que la situation devienne insoutenable.;5.0;3.0;26;;X;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=170.html
L'Humanité;Bruno Dumont;27 octobre 1999;Pharaon de Winter, petit-fils du peintre du même nom, vit seul avec sa mère dans le Nord. Il passe son temps libre à jardiner, à faire du vélo, mais surtout en compagnie de sa voisine Domino, dont il est secrètement amoureux. Lieutenant de police, il doit enquêter sur le viol et le meurtre d'une fillette. Ses investigations vont le conduire non seulement a la recherche du criminel, mais aussi en quête de preuves d'humanité entre les êtres.;3.2;3.6;20;;X;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=20684.html
La Chasse à l'homme;Edouard Molinaro;22 septembre 1964;Julien fait tout ce qu'il peut pour dissuader son ami Antoine d'épouser la ravissante, mais à ses yeux inquiétante, Gisèle. Alors même que la cérémonie du mariage approche, dans un café, Julien se livre à des confidences. Lui aussi a été marié, en dépit de ses airs de célibataire endurci, et ce fut une catastrophe qu'il raconte à son ami. Antoine est ébranlé. La déchéance de Fernand, un proxénète tombé sous le joug des femmes, achève de le convaincre. Antoine espère son salut de la fuite et c'est seul qu'il s'embarque pour son voyage de noces et la Grèce. Il y tombe sous le charme de la belle Sandra, une excellente chasseresse elle aussi. Une éclatante distribution pour une fable souriante, aux répliques affûtées.;3.5;--;59;;;;;;X;;https://www.allocine.fr/film/fichefilm_gen_cfilm=33273.html
